cDNA_length,cds_length,exon_nr,5_MAR_presence,3_MAR_presence,5_polyA_18_presence,5_CCGNN_2_5_presence,perc_go_hk_match,perc_go_ts_match,unsup_predicted
2918.0,1158.0,3.0,0.0,0.0,0.0,1.0,0.1,0.2,0
4795.0,3540.0,29.0,0.0,0.0,0.0,1.0,0.1,0.2,1
2918.0,1158.0,3.0,0.0,0.0,0.0,1.0,0.1,0.2,0
4795.0,3540.0,29.0,0.0,0.0,0.0,1.0,0.1,0.2,1
4551.0,1656.0,18.0,0.0,1.0,0.0,0.0,0.0,0.1111111,0
1245.0,597.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
1338.0,1197.0,,0.0,0.0,0.0,0.0,0.0,0.6666667,0
2709.0,2709.0,,0.0,0.0,0.0,0.0,,,0
3972.0,3411.0,,0.0,0.0,0.0,0.0,,,1
4226.0,3669.0,,0.0,0.0,0.0,0.0,,,0
3873.0,3672.0,,0.0,0.0,0.0,0.0,,,0
1579.0,222.0,,0.0,0.0,0.0,0.0,,,1
3865.0,1323.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
2002.0,540.0,,0.0,0.0,0.0,0.0,,,1
3842.0,2547.0,,0.0,0.0,0.0,1.0,,,1
1102.0,576.0,,0.0,0.0,0.0,0.0,,,0
4919.0,3138.0,,0.0,0.0,0.0,1.0,0.1666667,0.0,1
3914.0,1449.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
3900.0,1461.0,,1.0,0.0,0.0,0.0,0.0,0.3333333,0
3484.0,1797.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
2525.0,945.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2706.0,1122.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2536.0,903.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2510.0,897.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1774.0,1419.0,3.0,0.0,0.0,0.0,1.0,0.0,0.7142857,0
3509.0,1263.0,10.0,0.0,0.0,0.0,1.0,0.2857143,0.0,1
1545.0,735.0,7.0,0.0,0.0,0.0,1.0,0.2857143,0.0,1
3404.0,1263.0,9.0,0.0,0.0,0.0,1.0,0.2857143,0.0,1
1725.0,813.0,,0.0,0.0,0.0,1.0,0.0,0.4,0
10299.0,10299.0,,0.0,0.0,1.0,0.0,0.0,0.2222222,0
6622.0,3585.0,,1.0,0.0,0.0,0.0,0.0,0.2857143,0
3294.0,2721.0,,1.0,0.0,0.0,0.0,0.0,0.2857143,0
5983.0,4323.0,,0.0,0.0,0.0,0.0,0.0,0.4285714,0
2514.0,903.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
1395.0,903.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
4691.0,3840.0,,0.0,1.0,0.0,0.0,0.0,0.0,1
